r_mean,g_mean,b_mean,r_std,g_std,b_std,brightness,contrast,saturation,warmth,dominant_channel,filename,genre_principal,year,artist
0.624316,0.5223377,0.44193235,0.20784171,0.18914323,0.19183019,0.543663,0.19031294,0.3109465,0.18238363,0,Romanticism/jan-matejko_przemysl.jpg,Romanticism,,jan matejko
0.668272,0.65804255,0.6374476,0.22097258,0.21271503,0.1958499,0.6587533,0.21260148,0.08109341,0.030824423,0,Color_Field_Painting/anne-appleby_winter-aspen-2000.jpg,Color Field Painting,2000.0,anne appleby
0.5456531,0.4932368,0.4409632,0.20143066,0.20402622,0.1991585,0.50295013,0.20037848,0.21037722,0.104689896,0,Rococo/canaletto_the-bucintore-returning-to-the-molo-on-ascension-day.jpg,Rococo,,canaletto
0.54614544,0.5176579,0.46005526,0.24905768,0.2461432,0.22547793,0.519609,0.24202865,0.20234813,0.08609018,0,Post_Impressionism/paula-modersohn-becker_still-life-with-milk-1905.jpg,Post Impressionism,1905.0,paula modersohn becker
0.45693552,0.50271904,0.69028705,0.26505822,0.257366,0.2420527,0.5104125,0.25510886,0.3772242,-0.23335153,2,Impressionism/robert-julian-onderdonk_bluebonnets-in-texas-1915.jpg,Impressionism,1915.0,robert julian onderdonk
0.4197802,0.18792558,0.110882215,0.19015256,0.2103119,0.19202416,0.24846716,0.19672327,0.80080557,0.30889797,0,Romanticism/gustave-dore_paolo-and-francesca-da-rimini.jpg,Romanticism,,gustave dore
0.40543476,0.35122144,0.26020244,0.20196322,0.17991291,0.14383969,0.35705507,0.18054827,0.36262816,0.14523232,0,Rococo/giovanni-battista-tiepolo_the-sacrifice-of-melchizedek-1742.jpg,Rococo,1742.0,giovanni battista tiepolo
0.39412674,0.35563797,0.2832144,0.28540245,0.26731554,0.22794116,0.35888985,0.26696417,0.27923515,0.11091235,0,Baroque/bernardo-strozzi_allegory-of-arts-1640.jpg,Baroque,1640.0,bernardo strozzi
0.3968937,0.39957756,0.37742898,0.15881245,0.18839106,0.22004147,0.39625013,0.18136746,0.21422745,0.019464731,1,Realism/aleksey-savrasov_swiss-landscape-with-horses-1867.jpg,Realism,1867.0,aleksey savrasov
0.50884795,0.386455,0.13239461,0.2983838,0.23901027,0.07106962,0.39408758,0.2348921,0.6378361,0.37645334,0,Realism/giovanni-boldini_portrait-of-francesco-boldini.jpg,Realism,,giovanni boldini
0.65967155,0.6766455,0.6249852,0.19735642,0.2050825,0.24528442,0.66568106,0.19770457,0.21391602,0.034686327,1,Post_Impressionism/nicolae-darascu_field-work-landscape-from-grimaud-1911.jpg,Post Impressionism,1911.0,nicolae darascu
0.44802773,0.31528777,0.20634529,0.2157865,0.13972874,0.084042646,0.34255758,0.14492987,0.48033038,0.24168244,0,Expressionism/amedeo-modigliani_the-young-apprentice.jpg,Expressionism,,amedeo modigliani
0.29876015,0.30958924,0.20491178,0.20565353,0.18278374,0.12195505,0.2944181,0.18093957,0.32607937,0.09384836,1,Romanticism/paul-cezanne_marion-and-valabregue-posing-for-a-picture-1866.jpg,Romanticism,1866.0,paul cezanne
0.39645326,0.25963902,0.18519048,0.27566433,0.21749538,0.16811062,0.29205936,0.22543436,0.51596904,0.21126278,0,Rococo/jean-honore-fragonard_the-warrior.jpg,Rococo,,jean honore fragonard
0.84430885,0.8060324,0.6919668,0.08950122,0.09121384,0.1393458,0.80447364,0.089259095,0.18389362,0.15234208,0,Expressionism/pierre-alechinsky_the-cat-and-the-rooster-le-chat-et-le-coq-from-aesop-s-fable-fables-d-sope-1946.jpg,Expressionism,1946.0,pierre alechinsky
0.5543574,0.55297375,0.59417534,0.21316148,0.21532711,0.21315414,0.5580845,0.21441904,0.08681362,-0.03981793,2,Post_Impressionism/vincent-van-gogh_rhone-with-boats-and-a-bridge-1888.jpg,Post Impressionism,1888.0,vincent van gogh
0.49664116,0.5007037,0.49854285,0.3124033,0.31630957,0.31940344,0.49924266,0.3154532,0.043927956,-0.0019016862,1,Realism/vasily-surikov_study-to-the-conquest-of-siberia-by-yermak.jpg,Realism,,vasily surikov
0.6010388,0.47862455,0.39858302,0.24841061,0.21271552,0.20344575,0.50610167,0.22038165,0.3540642,0.20245579,0,Realism/konstantinos-volanakis_naval-battle-at-lissa-1869.jpg,Realism,1869.0,konstantinos volanakis
0.3893258,0.39666077,0.23744258,0.24890034,0.22427389,0.20689115,0.37631673,0.22650139,0.46952885,0.15188321,1,Realism/henri-fantin-latour_portrait-of-young-woman-1873.jpg,Realism,1873.0,henri fantin latour
0.51218987,0.46846157,0.4782045,0.14481236,0.13160963,0.1375794,0.482647,0.1256295,0.20531501,0.033985376,0,Art_Nouveau_Modern/gustav-klimt_portrait-of-baroness-elisabeth-bachofen-echt-1916.jpg,Art Nouveau Modern,1916.0,gustav klimt
0.47114998,0.4883703,0.47354788,0.20652002,0.20684446,0.20810345,0.48153168,0.20683286,0.051523533,-0.0023978949,1,Post_Impressionism/vincent-van-gogh_fountain-in-the-garden-of-saint-paul-hospital-1889(1).jpg,Post Impressionism,1889.0,vincent van gogh
0.45141125,0.35220855,0.2975823,0.1823518,0.13413218,0.11084511,0.37564275,0.1401687,0.30212814,0.15382895,0,Symbolism/nicholas-roerich_warrior.jpg,Symbolism,,nicholas roerich
0.2311995,0.23400784,0.22002792,0.17718886,0.17897882,0.17952664,0.23157443,0.1784921,0.07663056,0.011171579,1,Romanticism/francisco-goya_twerp-1823.jpg,Romanticism,1823.0,francisco goya
0.34825295,0.24741188,0.19384122,0.23287359,0.1591378,0.10585759,0.2714563,0.1714984,0.38113174,0.15441173,0,Baroque/caravaggio_saint-jerome-writing-1607(1).jpg,Baroque,1607.0,caravaggio
0.3992592,0.32151455,0.19900788,0.20065281,0.1649703,0.1090268,0.33079445,0.16838086,0.48928618,0.20025133,0,Symbolism/paul-mathiopoulos_after-the-rain-queen-street-wisdom-1900.jpg,Symbolism,1900.0,paul mathiopoulos
0.41533014,0.40114412,0.3157581,0.20214084,0.19122322,0.21240622,0.39565176,0.19044495,0.35940617,0.09957203,0,Impressionism/octav-bancila_autoportret-detaliu-1942.jpg,Impressionism,1942.0,octav bancila
0.3905094,0.36587346,0.31265056,0.16232435,0.17868362,0.204517,0.36717218,0.17334236,0.3101444,0.077858835,0,Post_Impressionism/maxime-maufra_fishing-for-sprats-in-winter-at-douarnenez-1905.jpg,Post Impressionism,1905.0,maxime maufra
0.4493272,0.51639265,0.13699473,0.14033398,0.17796995,0.037853476,0.4530887,0.13626532,0.7409476,0.31233245,1,Post_Impressionism/vincent-van-gogh_crab-on-it-s-back-1889(1).jpg,Post Impressionism,1889.0,vincent van gogh
0.5683112,0.5341699,0.5667289,0.18106386,0.1851538,0.20365633,0.5480899,0.16248545,0.31199732,0.0015823245,0,Expressionism/richard-diebenkorn_still-life-with-orange-peel.jpg,Expressionism,,richard diebenkorn
0.38344392,0.3850445,0.37102842,0.19311897,0.18455346,0.17632334,0.38296813,0.18585986,0.09355755,0.0124154985,1,Naive_Art_Primitivism/niko-pirosmani_deer-family-at-waterhole.jpg,Naive Art Primitivism,,niko pirosmani
0.41749078,0.3603145,0.3077383,0.17236213,0.16801482,0.17071052,0.3714165,0.16845636,0.29229143,0.109752476,0,Post_Impressionism/edouard-cortes_quay-du-louvre-winter.jpg,Post Impressionism,,edouard cortes
0.3054762,0.30632854,0.32205188,0.22579804,0.19106223,0.22889753,0.30786616,0.19791079,0.3241276,-0.016575694,2,Expressionism/george-bouzianis_trees-in-the-riverside.jpg,Expressionism,,george bouzianis
0.47230992,0.3777923,0.2924137,0.14415115,0.15236954,0.14696397,0.3963199,0.147764,0.40751556,0.1798962,0,Romanticism/john-constable_salisbury-cathedral-from-the-meadows-1831.jpg,Romanticism,1831.0,john constable
0.8195956,0.66377866,0.40925917,0.15285039,0.1664834,0.20558675,0.68135273,0.15713331,0.50585,0.4103364,0,Art_Nouveau_Modern/carl-larsson_plowing(1).jpg,Art Nouveau Modern,,carl larsson
0.83713305,0.8312979,0.7299324,0.15450893,0.15498404,0.15574071,0.82148695,0.15325238,0.14850616,0.10720062,0,Expressionism/yiannis-tsaroychis_sketch-1.jpg,Expressionism,,yiannis tsaroychis
0.752119,0.74216425,0.6698128,0.16222496,0.16389726,0.18097036,0.7368927,0.16447523,0.12321587,0.082306206,0,Post_Impressionism/georges-seurat_part-of-the-studio-1887.jpg,Post Impressionism,1887.0,georges seurat
0.11623751,0.104551554,0.10173723,0.20969775,0.18674004,0.15598382,0.107724816,0.18935302,0.31501257,0.014500283,0,Baroque/rembrandt_portrait-of-a-young-woman-with-a-fan-1633.jpg,Baroque,1633.0,rembrandt
0.42802423,0.46268097,0.4807663,0.21967109,0.20039159,0.21924469,0.45438033,0.19402152,0.334196,-0.052742064,2,Expressionism/henri-matisse_still-life-14.jpg,Expressionism,,henri matisse
0.66400963,0.61939335,0.40025347,0.120269075,0.11827492,0.1274968,0.6077517,0.113386594,0.41113305,0.26375616,0,Romanticism/albert-bierstadt_snow-capped-moutain-at-twilight.jpg,Romanticism,,albert bierstadt
0.49273086,0.45008186,0.49473736,0.2759241,0.21884614,0.2526327,0.46792465,0.20443325,0.45530334,-0.002006501,2,Cubism/albert-gleizes_femme-cubiste-1921.jpg,Cubism,1921.0,albert gleizes
0.48755962,0.45530024,0.41070485,0.19384204,0.22019385,0.2194214,0.45986193,0.20800905,0.25946715,0.076854765,0,Realism/pyotr-konchalovsky_portrait-of-writer-vsevolod-vyacheslavovich-ivanov-1951.jpg,Realism,1951.0,pyotr konchalovsky
0.58688366,0.37874183,0.29403436,0.19254263,0.1601115,0.13862893,0.4313196,0.16537409,0.5112371,0.2928493,0,Realism/james-tissot_the-jews-passover.jpg,Realism,,james tissot
0.51978815,0.5228061,0.5217709,0.29815665,0.30381522,0.3098763,0.52178574,0.3027936,0.03791786,-0.0019827485,1,Realism/boris-kustodiev_on-the-volga-1926.jpg,Realism,1926.0,boris kustodiev
0.48007482,0.44684583,0.44435847,0.14016357,0.15197371,0.15759084,0.4564977,0.14593062,0.13253757,0.035716355,0,Expressionism/margareta-sterian_flowers-1.jpg,Expressionism,,margareta sterian
0.55265594,0.5348264,0.5802397,0.13490775,0.12640263,0.17329103,0.5453346,0.107292764,0.33122694,-0.027583778,2,Impressionism/claude-monet_water-lilies-1917-2.jpg,Impressionism,1917.0,claude monet
0.6530245,0.6587546,0.6530118,0.21385272,0.21565354,0.21911497,0.6563866,0.21549945,0.018552747,1.2695789e-05,1,Pointillism/georges-vantongerloo_a-seated-lady.jpg,Pointillism,,georges vantongerloo
0.287399,0.29243022,0.28310883,0.25966743,0.26372454,0.26597595,0.28986323,0.26273412,0.08384235,0.0042901635,1,Realism/m.c.-escher_not_detected_204700.jpg,Realism,,m.c. escher
0.63320124,0.5100227,0.40105027,0.28360617,0.2592324,0.25176778,0.53443027,0.2534225,0.36528265,0.23215097,0,Abstract_Expressionism/audrey-flack_abstract-force-homage-to-franz-kline-1952.jpg,Abstract Expressionism,1952.0,audrey flack
0.52471304,0.39116645,0.28391162,0.22755377,0.2052203,0.1594041,0.41886982,0.20560241,0.47777647,0.24080142,0,Baroque/rembrandt_artist-in-his-studio-1626.jpg,Baroque,1626.0,rembrandt
0.3850007,0.32792205,0.21537249,0.17458443,0.1819242,0.16009817,0.3321579,0.17435476,0.47583675,0.16962822,0,Rococo/william-hogarth_the-fishing-party.jpg,Rococo,,william hogarth
0.49758136,0.34149507,0.3070923,0.2669916,0.12595715,0.08189297,0.38424295,0.15769248,0.33510807,0.19048905,0,Impressionism/edgar-degas_girl-in-red-1876.jpg,Impressionism,1876.0,edgar degas
0.46455008,0.4233973,0.2668809,0.20750794,0.20244773,0.21356584,0.41785914,0.19939819,0.4806469,0.19766918,0,Realism/camille-corot_civita-castellana-1827.jpg,Realism,1827.0,camille corot
0.40792024,0.4624294,0.43330532,0.18131869,0.17320675,0.2555908,0.442811,0.17812446,0.31996924,-0.025385082,1,Post_Impressionism/paul-cezanne_mont-sainte-victoire-1.jpg,Post Impressionism,,paul cezanne
0.9299077,0.9429509,0.9187256,0.062345374,0.06055375,0.08778741,0.9362894,0.054450016,0.042372458,0.01118207,1,Color_Field_Painting/helen-frankenthaler_what-red-lines-can-do-1970.jpg,Color Field Painting,1970.0,helen frankenthaler
0.4458709,0.42116126,0.37849265,0.25693277,0.26249945,0.27800438,0.42368522,0.26085272,0.21269056,0.06737825,0,Minimalism/ralph-hotere_black-window-1983.jpg,Minimalism,1983.0,ralph hotere
0.36254573,0.36051887,0.30447137,0.24548633,0.22488438,0.2260563,0.3547355,0.23054071,0.2564547,0.058074355,0,Symbolism/george-frederick-watts_daphne-1892(1).jpg,Symbolism,1892.0,george frederick watts
0.53400904,0.46359527,0.40015823,0.2233445,0.2201625,0.19877793,0.4774172,0.21572542,0.29851624,0.13385081,0,Pointillism/georges-seurat_the-seine-at-la-grande-jatte-in-the-spring-1888.jpg,Pointillism,1888.0,georges seurat
0.5413871,0.50513536,0.43895024,0.25307083,0.24210373,0.20733164,0.5084295,0.24076429,0.20391819,0.10243684,0,Cubism/amedee-ozenfant_le-pichet-blanc-1926.jpg,Cubism,1926.0,amedee ozenfant
0.8119832,0.7984251,0.7750455,0.1358211,0.13376851,0.14151165,0.7998136,0.13522297,0.048548494,0.036937714,0,Symbolism/mstislav-dobuzhinsky_sphinxes-1922.jpg,Symbolism,1922.0,mstislav dobuzhinsky
0.5289539,0.4114725,0.2493887,0.20794919,0.20387532,0.16909212,0.4281219,0.19622786,0.57949466,0.27956522,0,Realism/henri-fantin-latour_still-life-with-flowers-and-fruit-1866.jpg,Realism,1866.0,henri fantin latour
0.63848424,0.62533367,0.5180707,0.15786232,0.15439552,0.17547034,0.6170377,0.14309339,0.28428358,0.12041354,0,Symbolism/nicholas-roerich_girls-1944.jpg,Symbolism,1944.0,nicholas roerich
0.537169,0.46728566,0.3828032,0.2854162,0.27354157,0.22201882,0.47854975,0.27039227,0.2871272,0.15436578,0,Mannerism_Late_Renaissance/el-greco_st-bartholomew.jpg,Mannerism Late Renaissance,,el greco
0.37962624,0.27046472,0.19472897,0.23194861,0.19480008,0.12761873,0.29447016,0.1971351,0.48429343,0.18489727,0,Baroque/gerrit-dou_the-village-grocer-1647.jpg,Baroque,1647.0,gerrit dou
0.23907495,0.23426753,0.24276267,0.1285297,0.09880434,0.07898143,0.23667341,0.10367535,0.16625258,-0.0036877245,2,Baroque/mario-nuzzi_a-flower-piece.jpg,Baroque,,mario nuzzi
0.67944527,0.42528218,0.33324096,0.19085947,0.23923153,0.19933024,0.4907843,0.19878662,0.5463702,0.3462043,0,Expressionism/george-segal_helen-in-wicker-rocker-1978.jpg,Expressionism,1978.0,george segal
0.62157965,0.5794877,0.44588983,0.16389619,0.15910642,0.17455997,0.576843,0.15917835,0.3064217,0.17568982,0,Impressionism/edgar-degas_bathers-on-the-grass-1890.jpg,Impressionism,1890.0,edgar degas
0.4778366,0.3908701,0.37104088,0.18276474,0.18364632,0.13617541,0.41461256,0.17586565,0.26694614,0.10679573,0,Mannerism_Late_Renaissance/tintoretto_battle-of-the-archangel-michael-and-the-satan.jpg,Mannerism Late Renaissance,,tintoretto
0.48877552,0.4150228,0.38551074,0.22868644,0.19961542,0.14369677,0.43371052,0.19751354,0.2623428,0.10326478,0,Symbolism/william-holman-hunt_the-scapegoat.jpg,Symbolism,,william holman hunt
0.34171143,0.37417546,0.35739532,0.21677814,0.23275371,0.26607946,0.36255577,0.22764742,0.30392936,-0.01568389,1,Baroque/adriaen-van-de-venne_fishing-for-souls.jpg,Baroque,,adriaen van de venne
0.6095301,0.55284643,0.45896354,0.14005174,0.11337389,0.09959146,0.55909216,0.1154662,0.2568895,0.15056655,0,Post_Impressionism/kuzma-petrov-vodkin_negro-village-1907.jpg,Post Impressionism,1907.0,kuzma petrov vodkin
0.32718244,0.23504138,0.09967497,0.20828354,0.16775589,0.10549756,0.24715978,0.17123543,0.73227787,0.22750747,0,Rococo/joseph-wright_portrait-of-samuel-oldknow.jpg,Rococo,,joseph wright
0.5123236,0.35172504,0.1942249,0.26965955,0.20703815,0.096830435,0.38178897,0.20800625,0.5412288,0.31809872,0,Art_Nouveau_Modern/nicholas-roerich_throne-of-the-invisible-god-1909.jpg,Art Nouveau Modern,1909.0,nicholas roerich
0.56889075,0.57826555,0.4339777,0.14254694,0.1368035,0.17401367,0.55901366,0.13030289,0.30235404,0.13491306,1,Post_Impressionism/tarsila-do-amaral_portrait-of-oswald-de-andrade-1922.jpg,Post Impressionism,1922.0,tarsila do amaral
0.40528136,0.37157583,0.22190925,0.17119116,0.15794918,0.12032793,0.36459178,0.15548848,0.45154107,0.18337211,0,Realism/ivan-shishkin_the-bark-on-the-dry-trunk-1890.jpg,Realism,1890.0,ivan shishkin
0.61859804,0.64454365,0.6037787,0.16771044,0.14899708,0.14506228,0.6321387,0.14903176,0.1435504,0.014819324,1,Abstract_Expressionism/robert-goodnough_wild-horses-1965.jpg,Abstract Expressionism,1965.0,robert goodnough
0.7053702,0.7053702,0.7053702,0.28676885,0.28676885,0.28676885,0.7053702,0.28676885,0.0,0.0,0,Mannerism_Late_Renaissance/titian_study-of-legs-1557.jpg,Mannerism Late Renaissance,1557.0,titian
0.33196113,0.25739652,0.27322185,0.15403163,0.12323513,0.10652569,0.28149542,0.12940872,0.23598413,0.058739275,0,Expressionism/amedeo-modigliani_portrait-of-diego-rivera-1914-1.jpg,Expressionism,1914.0,amedeo modigliani
0.76780844,0.6908285,0.5844179,0.06462691,0.060800508,0.054945216,0.7017147,0.0610904,0.23952073,0.18339056,0,Expressionism/jury-annenkov_the-intellectual.jpg,Expressionism,,jury annenkov
0.35653508,0.27321374,0.22387433,0.24340376,0.21178256,0.17073277,0.2925021,0.21502776,0.4636162,0.13266075,0,Northern_Renaissance/hans-memling_triptych-of-jan-floreins-1479.jpg,Northern Renaissance,1479.0,hans memling
0.6554297,0.59112096,0.5517564,0.13450897,0.15321864,0.17337948,0.6058618,0.14763145,0.19213982,0.10367334,0,Impressionism/eugene-boudin_entrance-to-the-port-of-le-havre-1889.jpg,Impressionism,1889.0,eugene boudin
0.65459824,0.5815387,0.41441005,0.2087307,0.18848348,0.26102513,0.5843308,0.19620796,0.43221635,0.24018818,0,Impressionism/william-merritt-chase_landscape-near-coney-island.jpg,Impressionism,,william merritt chase
0.5524474,0.49775442,0.4038263,0.2798179,0.26973766,0.19856617,0.50339985,0.25670028,0.34244576,0.14862108,0,Symbolism/nicholas-roerich_sergius-of-radonezh-1932(1).jpg,Symbolism,1932.0,nicholas roerich
0.3186416,0.23941842,0.18876237,0.27361292,0.27388525,0.25003782,0.25733137,0.27046293,0.56361926,0.12987924,0,Mannerism_Late_Renaissance/el-greco_portrait-of-a-young-man.jpg,Mannerism Late Renaissance,,el greco
0.52901447,0.5074085,0.52482605,0.2658701,0.26874167,0.3187972,0.51585424,0.27053776,0.2541452,0.0041884184,0,Baroque/jusepe-de-ribera_landscape-with-shepherds-1639.jpg,Baroque,1639.0,jusepe de ribera
0.63747966,0.7277901,0.6758602,0.16811551,0.15499485,0.20750983,0.6948673,0.14677015,0.2678628,-0.038380563,1,Impressionism/isaac-levitan_saklia-in-alupka-1886.jpg,Impressionism,1886.0,isaac levitan
0.292126,0.2721213,0.2427634,0.21542639,0.15034586,0.1452495,0.2747559,0.15779833,0.46405354,0.0493626,0,Post_Impressionism/raoul-dufy_martigues.jpg,Post Impressionism,,raoul dufy
0.5177993,0.46636745,0.39857852,0.28273714,0.2823966,0.24809833,0.47401765,0.2777774,0.2721802,0.11922079,0,Realism/aleksey-savrasov_elk-island-in-sokolniki-1869.jpg,Realism,1869.0,aleksey savrasov
0.2841273,0.22029887,0.17122109,0.15328436,0.1265825,0.08146149,0.2337887,0.12717937,0.3742048,0.1129062,0,Romanticism/paul-cezanne_neried-and-tritons-1867.jpg,Romanticism,1867.0,paul cezanne
0.6927376,0.7247391,0.67767024,0.22504038,0.24502736,0.2357985,0.7098048,0.23775437,0.08946368,0.015067339,1,Naive_Art_Primitivism/fernand-leger_the-album-circus-1950-37.jpg,Naive Art Primitivism,1950.0,fernand leger
0.31230113,0.17987588,0.08124809,0.31472495,0.2799529,0.19145489,0.20822746,0.26024163,0.7898678,0.23105304,0,Pop_Art/andy-warhol_electric-chair-3.jpg,Pop Art,,andy warhol
0.5131927,0.46236145,0.4122968,0.13680989,0.14178948,0.14303988,0.4718526,0.13934974,0.21142763,0.10089591,0,Art_Nouveau_Modern/nicholas-roerich_fortress-1909.jpg,Art Nouveau Modern,1909.0,nicholas roerich
0.6296169,0.6319764,0.57954776,0.28399464,0.2742663,0.25786996,0.6252941,0.27523685,0.1153881,0.050069153,1,Abstract_Expressionism/william-scott_cornish-harbour-1951.jpg,Abstract Expressionism,1951.0,william scott
0.57698405,0.52978325,0.44667682,0.15171413,0.15967147,0.21395133,0.53442216,0.1574102,0.27868444,0.13030723,0,Post_Impressionism/paul-cezanne_portrait-of-madame-cezanne-3.jpg,Post Impressionism,,paul cezanne
0.4108949,0.4296825,0.4235713,0.20818985,0.20264347,0.20157403,0.42336833,0.20413998,0.06647664,-0.012676388,1,Early_Renaissance/andrea-mantegna_scenes-from-the-life-of-st-james-1448.jpg,Early Renaissance,1448.0,andrea mantegna
0.64408773,0.61499405,0.5424824,0.19812986,0.18656746,0.17438313,0.6154267,0.18853526,0.16368157,0.101605356,0,Cubism/pyotr-konchalovsky_portrait-of-a-e-goncz-1918.jpg,Cubism,1918.0,pyotr konchalovsky
0.3786025,0.35895616,0.27710155,0.18708879,0.15785713,0.12135058,0.35549897,0.15915814,0.27550748,0.10150096,0,Expressionism/oskar-kokoschka_not_detected_235859.jpg,Expressionism,,oskar kokoschka
0.27232882,0.24889085,0.18093047,0.18549444,0.1238543,0.087487794,0.2481513,0.13698809,0.31294668,0.09139836,0,Mannerism_Late_Renaissance/jacopo-pontormo_alessandro-de-medici.jpg,Mannerism Late Renaissance,,jacopo pontormo
0.6305138,0.62482816,0.61381763,0.20691684,0.23686151,0.24923444,0.625273,0.22896327,0.09519881,0.016696155,0,Early_Renaissance/donatello_judith-and-holofernes-1460.jpg,Early Renaissance,1460.0,donatello
0.7703713,0.7292414,0.6108872,0.19148977,0.180407,0.16364557,0.7280469,0.18129012,0.20917185,0.15948409,0,Expressionism/salvador-dali_family-portrait.jpg,Expressionism,,salvador dali
0.44352573,0.40391824,0.34224495,0.21128418,0.21667165,0.20778486,0.40873012,0.21034078,0.28080586,0.10128078,0,High_Renaissance/vittore-carpaccio_portrait-of-a-knight-1510.jpg,High Renaissance,1510.0,vittore carpaccio
0.6287878,0.5964873,0.5165896,0.25029653,0.26579666,0.26003918,0.5970368,0.2602855,0.2280246,0.11219823,0,Naive_Art_Primitivism/niko-pirosmani_gate-keeper.jpg,Naive Art Primitivism,,niko pirosmani
0.50648344,0.4600368,0.39753586,0.21097815,0.21769989,0.21445371,0.46679926,0.21368378,0.2700423,0.108947575,0,High_Renaissance/pietro-perugino_the-ceiling-with-four-medallions-1508.jpg,High Renaissance,1508.0,pietro perugino
0.43479747,0.50033104,0.50683784,0.2165866,0.19586562,0.16944894,0.48147827,0.19106804,0.28699332,-0.07204038,2,Symbolism/nicholas-roerich_teacher-s-order-1947.jpg,Symbolism,1947.0,nicholas roerich
0.4235122,0.24985161,0.16127141,0.18850102,0.12962784,0.082200184,0.29167798,0.13506939,0.5910965,0.26224077,0,Cubism/juan-gris_harlequin-with-guitar-1919.jpg,Cubism,1919.0,juan gris
0.77381456,0.67573404,0.5679678,0.13167153,0.1767192,0.26209337,0.6927748,0.17006367,0.30144846,0.20584679,0,Post_Impressionism/ferdynand-ruszczyc_brzeg-morski-1897.jpg,Post Impressionism,1897.0,ferdynand ruszczyc
0.5943359,0.42378435,0.38453755,0.20639417,0.22724456,0.22278658,0.47030514,0.21770883,0.40019777,0.20979837,0,Baroque/hercules-seghers_view-of-brussels-from-the-north-east-1625.jpg,Baroque,1625.0,hercules seghers
0.7485392,0.67773896,0.5790669,0.21412143,0.20293306,0.20761831,0.6876596,0.19578704,0.25528935,0.16947234,0,Symbolism/james-ensor_me-and-my-circle-193.jpg,Symbolism,,james ensor
0.44708586,0.42500144,0.40232342,0.17160237,0.1769491,0.15990002,0.42901942,0.17085154,0.18485309,0.044762433,0,Symbolism/mikalojus-ciurlionis_creation-of-the-world-xiii-1906.jpg,Symbolism,1906.0,mikalojus ciurlionis
0.42964444,0.33368927,0.2307895,0.22836894,0.18637413,0.18085372,0.3506493,0.19036333,0.4770388,0.19885494,0,Naive_Art_Primitivism/fernando-botero_official-portrait-of-the-military-junta.jpg,Naive Art Primitivism,,fernando botero
0.7241587,0.74486995,0.7514455,0.24807131,0.22390209,0.21645094,0.7394269,0.23018263,0.076552786,-0.027286768,2,Baroque/rembrandt_the-shell-conus-marmoreus-1650.jpg,Baroque,1650.0,rembrandt
0.7047303,0.624224,0.5657085,0.26112044,0.30376315,0.3407337,0.6416246,0.27802256,0.33874413,0.13902175,0,Color_Field_Painting/frank-stella_harran-ii-1967.jpg,Color Field Painting,1967.0,frank stella
0.5962883,0.48959982,0.40390074,0.09821302,0.095916435,0.07450554,0.51173,0.092124216,0.32327121,0.19238758,0,Realism/odilon-redon_flowers-in-a-vase.jpg,Realism,,odilon redon
